Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
,,,,,,
Total,"76,590","61,361","21,949","30,627","3,838","6,676"
Age ,,,,,,
    18 - 24,"38,097","37,296","10,101",-,-,-
    25 - 39,"55,320","44,331","15,190","21,441","3,655","6,682"
    40 - 54,"30,912","24,170","13,187","19,748","1,025","1,100"
    55 - 64,"17,446","17,056","3,853",-,-,-
    65 and above,"22,263","11,151","1,833","19,727",-,"1,183"
Sex ,,,,,,
    Male,"61,331","47,616","13,331","21,908","1,000","2,944"
    Female,"47,181","32,296","19,472","28,329","3,617","5,877"
Hispanic origin and Race ,,,,,,
    Hispanic or Latino (may be of any race),"25,319","20,742","6,142","17,049",-,"6,225"
"    White alone, not Hispanic","54,115","43,803","17,027","16,160","2,950","2,530"
"    Black alone, not Hispanic","23,624","19,617","12,301","4,203",826,-
"    Asian alone, not Hispanic","19,740","15,342","7,086","1,842","2,205",-
"    Two or more races + Other races, not Hispanic","23,113","11,853","3,089","19,732",-,-
Education ,,,,,,
    Less than high school,"35,378","23,945","14,125","21,285",-,-
    High school or GED,"45,168","38,830","12,974","24,616","2,753","5,504"
    Some college/associate’s degree,"24,335","21,480","9,644","4,782","2,463","3,916"
    Bachelor’s degree or higher,"29,872","27,966","8,905","5,871",629,951
Marital status ,,,,,,
    Married,"50,700","39,869","17,938","22,362",826,"2,377"
    Widowed,"11,225","11,218","1,324",-,-,-
    Divorced/separated,"36,853","21,313","6,006","27,747",582,"5,509"
    Never married,"46,600","44,051","14,905","2,448","3,655","2,944"
    Did not report,"1,529",-,"1,089",-,-,"1,073"
Respondent or household member experienced loss of employment income ,,,,,,
    Yes,"49,707","38,410","18,159","24,539","3,838","5,929"
    No,"60,669","55,044","13,258","25,099",-,"3,176"
    Did not report,"1,073",-,-,-,-,"1,073"
Respondent currently employed ,,,,,,
    Yes,"64,092","49,408","20,524","17,841","2,275","6,682"
    No,"40,086","33,526","10,313","24,569","3,030","1,181"
    Did not report,"1,073",-,-,-,-,"1,073"
Reason for not working ,,,,,,
    Did not want to be employed,"10,669","10,689","2,017",-,-,841
    Sick with coronavirus symptoms,"1,195",-,942,741,-,-
    Caring for someone with coronavirus symptoms,-,-,-,-,-,-
    Caring for children not in school or daycare,"18,751","11,460","4,451","11,003",-,-
    Caring for an elderly person,936,936,-,-,-,-
    Sick (not coronavirus related) or disabled,"3,230","1,830","1,474","2,201",-,-
    Retired,"20,988","13,991","1,289","19,727",-,454
    Coronavirus pandemic related reduction in business (including furlough),"7,933","6,423","1,213","4,602",-,-
    Laid off due to coronavirus pandemic,"14,195","12,415","4,933","2,914",-,-
    Employment closed temporarily due to the coronavirus pandemic,"8,324","7,158","4,295",-,"2,753",-
    Employment went out of business due to the coronavirus pandemic,"1,075",-,381,-,"1,000",-
    Other reason,"16,472","8,825","6,874","11,659",-,693
    Did not report,"64,386","49,867","20,524","17,841","2,275","6,815"
Receiving pay for the time not working ,,,,,,
    Using paid leave,"8,351","7,950","2,884",-,-,-
"    Full pay, not taking leave","3,182","3,056",942,-,-,-
    Partial pay,"10,020","10,103","2,953","2,736",826,-
    No pay,"36,284","29,620","9,289","24,436","2,889","1,181"
    Did not report,"64,047","49,408","20,690","17,841","2,275","6,815"
Household income ,,,,,,
"    Less than $25,000","19,669","10,486","10,155","12,303","2,950",-
"    $25,000 - $34,999","29,484","17,635","2,127","23,243",-,-
"    $35,000 - $49,999","16,241","11,034","9,979","6,601","2,205",-
