Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
,,,,,,
Total,"1,176,019","732,903","308,811","83,044","30,585","20,675"
Age ,,,,,,
    18 - 24,"132,641","43,455","11,108","61,368",-,"16,710"
    25 - 39,"392,841","191,611","188,737","2,705","8,260","1,529"
    40 - 54,"443,581","324,088","80,418","15,010","22,325","1,741"
    55 - 64,"104,386","90,935","9,980","2,774",-,696
    65 and above,"102,570","82,815","18,568","1,187",-,-
Sex ,,,,,,
    Male,"583,155","395,911","90,301","66,109","20,777","10,057"
    Female,"592,864","336,993","218,510","16,935","9,808","10,618"
Hispanic origin and Race ,,,,,,
    Hispanic or Latino (may be of any race),"218,608","66,037","87,733","63,655",-,"1,182"
"    White alone, not Hispanic","612,067","459,782","112,353","14,015","7,954","17,964"
"    Black alone, not Hispanic","57,451","13,761","40,648","3,043",-,-
"    Asian alone, not Hispanic","154,592","104,896","32,419",-,"15,748","1,529"
"    Two or more races + Other races, not Hispanic","133,300","88,428","35,658","2,331","6,883",-
Education ,,,,,,
    Less than high school,"51,447","33,487","17,960",-,-,-
    High school or GED,"351,298","166,763","95,543","68,829","7,954","12,210"
    Some college/associate’s degree,"334,538","204,211","100,754","12,892","12,179","4,501"
    Bachelor’s degree or higher,"438,736","328,442","94,554","1,323","10,452","3,965"
Marital status ,,,,,,
    Married,"724,718","500,753","198,385","2,410","21,083","2,087"
    Widowed,"5,803","3,905","1,104",795,-,-
    Divorced/separated,"101,822","75,503","11,355","12,995","1,273",696
    Never married,"343,676","152,743","97,967","66,845","8,229","17,893"
    Did not report,-,-,-,-,-,-
Household size ,,,,,,
    1 person in the household,-,-,-,-,-,-
    2 people in the household,"29,956","19,921","6,236","1,944","1,854",-
    3 people in the household,"223,110","144,462","65,567","7,125","1,579","4,376"
    4 people in the household,"333,917","253,876","63,142",966,"8,996","6,937"
    5 people in the household,"315,039","150,626","90,890","65,548","6,446","1,529"
    6 people in the household,"114,742","59,652","42,802","7,461","4,826",-
    7 or more people in the household,"159,256","104,366","40,174",-,"6,883","7,833"
Respondent or household member experienced loss of employment income ,,,,,,
    Yes,"635,071","362,243","161,790","77,932","28,730","4,376"
    No,"539,694","370,661","147,021","5,112","1,854","15,045"
    Did not report,"1,254",-,-,-,-,"1,254"
Respondent currently employed ,,,,,,
    Yes,"759,666","528,208","145,436","64,714","6,263","15,045"
    No,"415,099","204,696","163,375","18,330","24,322","4,376"
    Did not report,"1,254",-,-,-,-,"1,254"
Reason for not working ,,,,,,
    Did not want to be employed,"75,350","56,886","7,614",-,"10,850",-
    Sick with coronavirus symptoms,-,-,-,-,-,-
    Caring for someone with coronavirus symptoms,-,-,-,-,-,-
    Caring for children not in school or daycare,"94,091","54,472","35,127","4,492",-,-
    Caring for an elderly person,"1,192","1,192",-,-,-,-
    Sick (not coronavirus related) or disabled,"20,622","1,178","17,960","1,484",-,-
    Retired,"29,894","10,759","17,299","1,836",-,-
    Coronavirus pandemic related reduction in business (including furlough),"52,789","36,035","15,092","1,662",-,-
    Laid off due to coronavirus pandemic,"34,812","16,534","16,821",-,"1,456",-
    Employment closed temporarily due to the coronavirus pandemic,"45,270","1,585","39,002",-,306,"4,376"
    Employment went out of business due to the coronavirus pandemic,"15,841","8,958",-,-,"6,883",-
    Other reason,"34,554","13,975","14,460","1,293","4,826",-
    Did not report,"760,919","528,208","145,436","64,714","6,263","16,299"
Receiving pay for the time not working ,,,,,,
    Using paid leave,"26,995","15,877","11,118",-,-,-
"    Full pay, not taking leave","6,274",281,324,"1,293",-,"4,376"
    Partial pay,"15,806","13,475","2,331",-,-,-
    No pay,"363,244","173,325","149,601","15,996","24,322",-
    Did not report,"763,700","529,947","145,436","65,756","6,263","16,299"
Household income ,,,,,,
"    Less than $25,000","174,796","18,219","72,277","74,596","9,704",-
"    $25,000 - $34,999","39,312",-,"35,118","4,195",-,-
"    $35,000 - $49,999","110,298","63,209","41,711",551,"4,826",-
"    $50,000 - $74,999","78,886","51,162","27,418",-,306,-
"    $75,000 - $99,999","187,173","137,713","48,278",-,-,"1,182"
"    $100,000 - $149,999","118,333","83,541","33,031","1,761",-,-
"    $150,000 - $199,999","122,302","105,811","15,035",-,"1,456",-
"    $200,000 and above","200,870","182,675","9,199",-,"8,996",-
    Did not report,"144,048","90,574","26,744","1,942","5,296","19,493"
Used in the last 7 days to meet spending needs* ,,,,,,
    Regular income sources like those used before the pandemic,"829,374","600,583","139,270","70,793","4,990","13,738"
    Credit cards or loans,"343,756","202,993","121,468","5,731","13,564",-
    Money from savings or selling assets,"353,146","199,653","138,922","2,617","1,548","10,406"
    Borrowing from friends or family,"132,494","14,432","102,204","5,735","10,122",-
    Unemployment insurance (UI) benefit payments,"185,541","100,400","73,267",602,"11,272",-
    Stimulus (economic impact) payment,"295,572","187,340","86,712","16,531","4,990",-
    Money saved from deferred or forgiven payments (to meet spending needs),"80,728","9,350","58,491","2,434","10,452",-
    Did not report,"9,615","2,369","3,536",-,"1,273","2,436"
Health status ,,,,,,
    Excellent,"249,807","209,769","29,535","10,503",-,-
    Very good,"346,795","256,315","80,913","4,741","4,826",-
    Good,"338,736","177,891","145,657","5,675","8,331","1,182"
    Fair,"163,149","61,638","38,230","61,733","1,548",-
    Poor,"16,271",-,-,393,"15,879",-
    Did not report,"61,259","27,290","14,476",-,-,"19,493"
"Frequency of feeling nervous, anxious, on edge ",,,,,,
    Not at all,"287,621","214,311","69,530","3,780",-,-
    Several days,"459,263","315,006","137,023","4,473","1,579","1,182"
    More than half the days,"171,688","46,232","54,579","64,197","6,681",-
    Nearly every day,"192,461","126,339","33,203","10,594","22,325",-
    Did not report,"64,985","31,016","14,476",-,-,"19,493"
Frequency of not being able to stop or control worrying ,,,,,,
    Not at all,"374,381","297,819","75,113","1,449",-,-
    Several days,"418,325","269,051","134,669","7,322","6,099","1,182"
    More than half the days,"162,472","41,658","55,143","65,364",306,-
    Nearly every day,"159,582","97,085","29,409","8,909","24,179",-
    Did not report,"61,259","27,290","14,476",-,-,"19,493"
Frequency of having little interest or pleasure in doing things ,,,,,,
    Not at all,"504,120","348,937","93,213","61,970",-,-
    Several days,"352,700","205,803","128,884","7,290","9,541","1,182"
    More than half the days,"138,821","73,233","62,825","2,457",306,-
    Nearly every day,"119,118","77,639","9,412","11,328","20,738",-
    Did not report,"61,259","27,290","14,476",-,-,"19,493"
"Frequency of feeling down, depressed, or hopeless ",,,,,,
    Not at all,"358,152","240,785","115,316","2,051",-,-
    Several days,"426,693","305,702","105,027","8,682","6,099","1,182"
    More than half the days,"226,182","98,290","59,949","64,197","3,748",-
    Nearly every day,"103,731","60,836","14,043","8,115","20,738",-
    Did not report,"61,259","27,290","14,476",-,-,"19,493"
Covered by health insurance ,,,,,,
    Yes,"934,358","673,728","225,011","19,730","14,706","1,182"
    No,"173,238","25,371","69,323","62,665","15,879",-
    Did not report or don’t know,"68,422","33,805","14,476",649,-,"19,493"
Last month's mortgage or rent paid on time ,,,,,,
    Yes,"854,634","616,631","170,288","67,715",-,-
    No,"81,549","4,243","48,804","11,903","16,599",-
    Payment was deferred,"30,575","6,108","23,585",883,-,-
    Housing owned or payment not required,"139,404","74,124","51,658","1,895","10,544","1,182"
    Did not report,"69,857","31,798","14,476",649,"3,442","19,493"
Confidence in paying next rent or mortgage ,,,,,,
    No confidence,"24,246","2,193",722,"7,461","13,870",-
    Slight confidence,"107,968","19,263","81,743","5,689","1,273",-
    Moderate confidence,"229,154","106,048","57,487","64,163","1,456",-
    High confidence,"585,877","499,214","83,939","2,724",-,-
    Payment is/will be deferred,"19,513",264,"18,785",464,-,-
    Did not report,"209,261","105,922","66,135","2,543","13,985","20,675"
Free groceries or free meal in last 7 days ,,,,,,
    Yes,"122,539","70,182","47,893","3,007","1,456",-
    No,"1,031,185","662,721","258,116","80,037","29,128","1,182"
    Did not report,"22,294",-,"2,802",-,-,"19,493"
Provider of free groceries or free meal * ,,,,,,
    School or other programs aimed at children,"72,101","22,782","45,967","1,895","1,456",-
    Food pantry or food bank,"17,371","2,504","13,754","1,112",-,-
    Home-delivered meal service like Meals on Wheels,324,-,324,-,-,-
"    Church, synagogue, temple, mosque or other religious organization","5,581","4,203",776,602,-,-
    Shelter or soup kitchen,-,-,-,-,-,-
    Other community program,"8,019","7,297",722,-,-,-
"    Family, friends, or neighbors","44,462","40,436","2,131","1,895",-,-
    Did not report,"1,060,866","670,107","260,918","80,037","29,128","20,675"
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.,,,,,,
