wk1Fields,Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
wk1Total,Total,"62,445","59,089","19,542","10,257","2,277","1,455"
wk1    18 - 24,    18 - 24,"36,470","36,466",-,-,596,-
wk1    25 - 39,    25 - 39,"36,780","34,042","16,436","8,052","2,174","1,455"
wk1    40 - 54,    40 - 54,"23,813","21,785","9,544","6,039",-,-
wk1    55 - 64,    55 - 64,"23,397","23,076","3,157","2,915",-,-
wk1    65 and above,    65 and above,"22,402","22,224","4,353","2,238",-,-
wk1Sex ,Sex ,,,,,,
wk1    Male,    Male,"51,001","49,858","15,306","3,460",-,"1,455"
wk1    Female,    Female,"37,718","35,802","11,855","9,779","2,277",-
wk1Hispanic origin and Race ,Hispanic origin and Race ,,,,,,
wk1    Hispanic or Latino (may be of any race),    Hispanic or Latino (may be of any race),"21,209","18,548","9,765","5,379",596,-
"wk1    White alone, not Hispanic","    White alone, not Hispanic","48,195","48,386","7,284","2,980",-,"1,455"
"wk1    Black alone, not Hispanic","    Black alone, not Hispanic","14,450","14,083","3,602","3,377",-,-
"wk1    Asian alone, not Hispanic","    Asian alone, not Hispanic","20,046","16,484","15,790","5,492",-,-
"wk1    Two or more races + Other races, not Hispanic","    Two or more races + Other races, not Hispanic","47,972","43,421","9,164","6,817","2,174",-
wk1Education ,Education ,,,,,,
wk1    Less than high school,    Less than high school,"19,357","17,548","4,081","6,324",-,-
wk1    High school or GED,    High school or GED,"49,048","43,492","18,444","5,427",596,-
wk1    Some college/associate’s degree,    Some college/associate’s degree,"25,842","23,070","9,689","7,518",-,-
wk1    Bachelor’s degree or higher,    Bachelor’s degree or higher,"24,304","23,797","6,169",-,"2,174","1,455"
wk1Marital status ,Marital status ,,,,,,
wk1    Married,    Married,"44,162","42,738","14,257","7,231","2,277","1,455"
wk1    Widowed,    Widowed,"5,628","5,136","2,007","1,256",-,-
wk1    Divorced/separated,    Divorced/separated,"28,367","25,536","9,112","5,965",-,-
wk1    Never married,    Never married,"43,327","39,174","9,028","6,058",-,-
wk1    Did not report,    Did not report,"7,461","1,426","7,260",821,-,-
wk1Respondent or household member experienced loss of employment income ,Respondent or household member experienced loss of employment income ,,,,,,
wk1    Yes,    Yes,"55,234","50,116","18,849","7,865","2,277",-
wk1    No,    No,"39,303","38,356","9,454","7,476",-,"1,455"
wk1    Did not report,    Did not report,-,-,-,-,-,-
wk1Respondent currently employed ,Respondent currently employed ,,,,,,
wk1    Yes,    Yes,"61,022","57,310","14,483","5,034",-,"1,455"
wk1    No,    No,"42,885","36,033","17,134","9,287","2,277",-
wk1    Did not report,    Did not report,-,-,-,-,-,-
wk1Reason for not working ,Reason for not working ,,,,,,
wk1    Did not want to be employed,    Did not want to be employed,"10,129","10,100",638,-,-,-
wk1    Sick with coronavirus symptoms,    Sick with coronavirus symptoms,892,892,-,-,-,-
wk1    Caring for someone with coronavirus symptoms,    Caring for someone with coronavirus symptoms,-,-,-,-,-,-
wk1    Caring for children not in school or daycare,    Caring for children not in school or daycare,"13,533","12,563","3,404","2,189",-,-
wk1    Caring for an elderly person,    Caring for an elderly person,-,-,-,-,-,-
wk1    Sick (not coronavirus related) or disabled,    Sick (not coronavirus related) or disabled,"4,992","4,946",492,-,-,-
wk1    Retired,    Retired,"22,092","21,700","4,117",-,-,-
wk1    Coronavirus pandemic related reduction in business (including furlough),    Coronavirus pandemic related reduction in business (including furlough),"12,173","8,656","9,057","3,138",596,-
wk1    Laid off due to coronavirus pandemic,    Laid off due to coronavirus pandemic,"6,151","4,783","3,630",-,"2,174",-
wk1    Employment closed temporarily due to the coronavirus pandemic,    Employment closed temporarily due to the coronavirus pandemic,"17,047","16,557","3,662",-,-,-
wk1    Employment went out of business due to the coronavirus pandemic,    Employment went out of business due to the coronavirus pandemic,"2,334","2,334",-,-,-,-
wk1    Other reason,    Other reason,"16,537","8,508","13,575","8,713",-,-
wk1    Did not report,    Did not report,"61,022","57,310","14,483","5,034",-,"1,455"
wk1Receiving pay for the time not working ,Receiving pay for the time not working ,,,,,,
wk1    Using paid leave,    Using paid leave,"3,344","2,900",957,"1,256",-,-
"wk1    Full pay, not taking leave","    Full pay, not taking leave","10,799","9,818",-,"2,793",-,-
wk1    Partial pay,    Partial pay,"7,166","6,365","3,691",959,-,-
wk1    No pay,    No pay,"41,225","33,706","16,098","9,280","2,277",-
wk1    Did not report,    Did not report,"61,056","57,293","14,633","5,034",-,"1,455"
wk1Household income ,Household income ,,,,,,
