,,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
,,"62,445","59,089","19,542","10,257","2,277","1,455"
wk1    18 - 24,    18 - 24,"36,470","36,466",-,-,596,-
wk1    25 - 39,    25 - 39,"36,780","34,042","16,436","8,052","2,174","1,455"
wk1    40 - 54,    40 - 54,"23,813","21,785","9,544","6,039",-,-
wk1    55 - 64,    55 - 64,"23,397","23,076","3,157","2,915",-,-
wk1    65 and above,    65 and above,"22,402","22,224","4,353","2,238",-,-
wk1Sex ,Sex ,,,,,,
wk1    Male,    Male,"51,001","49,858","15,306","3,460",-,"1,455"
wk1    Female,    Female,"37,718","35,802","11,855","9,779","2,277",-
wk1Hispanic origin and Race ,Hispanic origin and Race ,,,,,,
wk1    Hispanic or Latino (may be of any race),    Hispanic or Latino (may be of any race),"21,209","18,548","9,765","5,379",596,-
"wk1    White alone, not Hispanic","    White alone, not Hispanic","48,195","48,386","7,284","2,980",-,"1,455"
"wk1    Black alone, not Hispanic","    Black alone, not Hispanic","14,450","14,083","3,602","3,377",-,-
"wk1    Asian alone, not Hispanic","    Asian alone, not Hispanic","20,046","16,484","15,790","5,492",-,-
"wk1    Two or more races + Other races, not Hispanic","    Two or more races + Other races, not Hispanic","47,972","43,421","9,164","6,817","2,174",-
wk1Education ,Education ,,,,,,
wk1    Less than high school,    Less than high school,"19,357","17,548","4,081","6,324",-,-
wk1    High school or GED,    High school or GED,"49,048","43,492","18,444","5,427",596,-
wk1    Some college/associate’s degree,    Some college/associate’s degree,"25,842","23,070","9,689","7,518",-,-
wk1    Bachelor’s degree or higher,    Bachelor’s degree or higher,"24,304","23,797","6,169",-,"2,174","1,455"
wk1Marital status ,Marital status ,,,,,,
wk1    Married,    Married,"44,162","42,738","14,257","7,231","2,277","1,455"
wk1    Widowed,    Widowed,"5,628","5,136","2,007","1,256",-,-
wk1    Divorced/separated,    Divorced/separated,"28,367","25,536","9,112","5,965",-,-
wk1    Never married,    Never married,"43,327","39,174","9,028","6,058",-,-
wk1    Did not report,    Did not report,"7,461","1,426","7,260",821,-,-
wk1Respondent or household member experienced loss of employment income ,Respondent or household member experienced loss of employment income ,,,,,,
wk1    Yes,    Yes,"55,234","50,116","18,849","7,865","2,277",-
wk1    No,    No,"39,303","38,356","9,454","7,476",-,"1,455"
wk1    Did not report,    Did not report,-,-,-,-,-,-
wk1Respondent currently employed ,Respondent currently employed ,,,,,,
wk1    Yes,    Yes,"61,022","57,310","14,483","5,034",-,"1,455"
wk1    No,    No,"42,885","36,033","17,134","9,287","2,277",-
wk1    Did not report,    Did not report,-,-,-,-,-,-
wk1Reason for not working ,Reason for not working ,,,,,,
wk1    Did not want to be employed,    Did not want to be employed,"10,129","10,100",638,-,-,-
wk1    Sick with coronavirus symptoms,    Sick with coronavirus symptoms,892,892,-,-,-,-
wk1    Caring for someone with coronavirus symptoms,    Caring for someone with coronavirus symptoms,-,-,-,-,-,-
wk1    Caring for children not in school or daycare,    Caring for children not in school or daycare,"13,533","12,563","3,404","2,189",-,-
wk1    Caring for an elderly person,    Caring for an elderly person,-,-,-,-,-,-
wk1    Sick (not coronavirus related) or disabled,    Sick (not coronavirus related) or disabled,"4,992","4,946",492,-,-,-
wk1    Retired,    Retired,"22,092","21,700","4,117",-,-,-
wk1    Coronavirus pandemic related reduction in business (including furlough),    Coronavirus pandemic related reduction in business (including furlough),"12,173","8,656","9,057","3,138",596,-
wk1    Laid off due to coronavirus pandemic,    Laid off due to coronavirus pandemic,"6,151","4,783","3,630",-,"2,174",-
wk1    Employment closed temporarily due to the coronavirus pandemic,    Employment closed temporarily due to the coronavirus pandemic,"17,047","16,557","3,662",-,-,-
wk1    Employment went out of business due to the coronavirus pandemic,    Employment went out of business due to the coronavirus pandemic,"2,334","2,334",-,-,-,-
wk1    Other reason,    Other reason,"16,537","8,508","13,575","8,713",-,-
wk1    Did not report,    Did not report,"61,022","57,310","14,483","5,034",-,"1,455"
wk1Receiving pay for the time not working ,Receiving pay for the time not working ,,,,,,
wk1    Using paid leave,    Using paid leave,"3,344","2,900",957,"1,256",-,-
"wk1    Full pay, not taking leave","    Full pay, not taking leave","10,799","9,818",-,"2,793",-,-
wk1    Partial pay,    Partial pay,"7,166","6,365","3,691",959,-,-
wk1    No pay,    No pay,"41,225","33,706","16,098","9,280","2,277",-
wk1    Did not report,    Did not report,"61,056","57,293","14,633","5,034",-,"1,455"
wk1Household income ,Household income ,,,,,,
"wk1    Less than $25,000","    Less than $25,000","15,910","15,348","2,052","2,598",-,-
"wk1    $25,000 - $34,999","    $25,000 - $34,999","17,186","13,786","9,037","8,172",596,-
"wk1    $35,000 - $49,999","    $35,000 - $49,999","41,871","42,808","13,636","4,083",-,-
"wk1    $50,000 - $74,999","    $50,000 - $74,999","23,445","20,061","10,832","4,644","2,174",-
"wk1    $75,000 - $99,999","    $75,000 - $99,999","22,183","22,178","3,326",-,-,-
"wk1    $100,000 - $149,999","    $100,000 - $149,999","28,534","27,272","9,019",-,-,-
"wk1    $150,000 - $199,999","    $150,000 - $199,999","12,764","12,810","1,747",-,-,-
"wk1    $200,000 and above","    $200,000 and above","23,687","23,209","2,218",-,-,-
wk1    Did not report,    Did not report,"14,462","13,914","4,019","2,800",-,"1,455"
wk1Health status ,Health status ,,,,,,
wk1    Excellent,    Excellent,"42,524","39,219","13,945","2,675",-,-
wk1    Very good,    Very good,"46,265","46,011","6,458","6,298",596,-
wk1    Good,    Good,"27,889","25,142","16,510","6,612",-,-
wk1    Fair,    Fair,"13,931","13,764","3,333","2,404","2,174",-
wk1    Poor,    Poor,"6,285","4,900",492,"3,891",-,-
wk1    Did not report,    Did not report,"9,923","9,980","3,681","1,856",-,"1,455"
"wk1Frequency of feeling nervous, anxious, on edge ","Frequency of feeling nervous, anxious, on edge ",,,,,,
wk1    Not at all,    Not at all,"46,392","44,561","9,211","2,828",-,-
wk1    Several days,    Several days,"42,658","37,745","17,585","6,272",-,-
wk1    More than half the days,    More than half the days,"24,864","22,511","7,233","7,054",596,-
wk1    Nearly every day,    Nearly every day,"21,769","19,332","8,631","4,551","2,174",-
wk1    Did not report,    Did not report,"9,934","10,100","2,626","1,856",-,"1,455"
wk1Frequency of not being able to stop or control worrying ,Frequency of not being able to stop or control worrying ,,,,,,
wk1    Not at all,    Not at all,"49,392","49,176","6,766","2,828",-,-
wk1    Several days,    Several days,"43,884","41,660","17,057","6,162",-,-
wk1    More than half the days,    More than half the days,"20,869","17,950","6,627","7,724",596,-
wk1    Nearly every day,    Nearly every day,"18,745","16,467","9,287","3,906","2,174",-
wk1    Did not report,    Did not report,"9,934","10,100","2,626","1,856",-,"1,455"
wk1Frequency of having little interest or pleasure in doing things ,Frequency of having little interest or pleasure in doing things ,,,,,,
wk1    Not at all,    Not at all,"47,366","47,154","14,319","6,893",-,-
wk1    Several days,    Several days,"35,794","32,749","11,065","6,059",596,-
wk1    More than half the days,    More than half the days,"23,133","21,172","8,719","1,257",-,-
wk1    Nearly every day,    Nearly every day,"13,814","11,330","6,599","4,523","2,174",-
wk1    Did not report,    Did not report,"10,637","10,340","2,626","1,856",-,"1,455"
"wk1Frequency of feeling down, depressed, or hopeless ","Frequency of feeling down, depressed, or hopeless ",,,,,,
wk1    Not at all,    Not at all,"50,255","49,606","8,079","6,672",-,-
wk1    Several days,    Several days,"38,935","37,430","17,080","5,978",-,-
wk1    More than half the days,    More than half the days,"20,937","17,677","6,914","1,485",596,-
wk1    Nearly every day,    Nearly every day,"15,889","12,429","8,308","5,379","2,174",-
