wk3Fields,Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
wk3Total,Total,"920,548","658,594","159,703","45,910","33,666","22,676"
wk3Age ,Age ,,,,,,
wk3    18 - 24,    18 - 24,"80,067","48,299","3,603","6,653","16,300","5,213"
wk3    25 - 39,    25 - 39,"314,168","222,904","69,773","20,951",257,283
wk3    40 - 54,    40 - 54,"325,913","231,787","56,013","17,124","4,497","16,491"
wk3    55 - 64,    55 - 64,"139,314","130,551","7,872",242,387,262
wk3    65 and above,    65 and above,"61,086","25,053","22,441",940,"12,225",427
wk3Sex ,Sex ,,,,,,
wk3    Male,    Male,"396,346","258,378","95,815","32,102","3,429","6,622"
wk3    Female,    Female,"524,202","400,216","63,888","13,808","30,236","16,054"
wk3Hispanic origin and Race ,Hispanic origin and Race ,,,,,,
wk3    Hispanic or Latino (may be of any race),    Hispanic or Latino (may be of any race),"106,607","43,657","32,053","7,933","16,300","6,663"
"wk3    White alone, not Hispanic","    White alone, not Hispanic","501,772","419,375","55,928","23,661",444,"2,364"
"wk3    Black alone, not Hispanic","    Black alone, not Hispanic","116,687","70,168","28,099","5,022","12,869",530
"wk3    Asian alone, not Hispanic","    Asian alone, not Hispanic","155,552","103,866","37,865",672,383,"12,766"
"wk3    Two or more races + Other races, not Hispanic","    Two or more races + Other races, not Hispanic","39,930","21,528","5,758","8,623","3,670",352
wk3Education ,Education ,,,,,,
wk3    Less than high school,    Less than high school,"73,338","41,926","1,728","3,312","19,970","6,401"
wk3    High school or GED,    High school or GED,"159,341","90,997","16,431","25,776","12,611","13,526"
wk3    Some college/associate’s degree,    Some college/associate’s degree,"259,287","164,687","74,903","16,662","1,084","1,950"
wk3    Bachelor’s degree or higher,    Bachelor’s degree or higher,"428,582","360,983","66,641",160,-,798
wk3Marital status ,Marital status ,,,,,,
wk3    Married,    Married,"619,593","456,712","120,702","14,052","13,489","14,639"
wk3    Widowed,    Widowed,"9,048","7,566",495,825,-,162
wk3    Divorced/separated,    Divorced/separated,"100,933","68,733","24,704","4,436",831,"2,229"
wk3    Never married,    Never married,"190,691","125,549","13,802","26,597","19,346","5,397"
wk3    Did not report,    Did not report,283,35,-,-,-,249
wk3Respondent or household member experienced loss of employment income ,Respondent or household member experienced loss of employment income ,,,,,,
wk3    Yes,    Yes,"410,015","276,020","61,898","34,749","16,979","20,370"
wk3    No,    No,"510,284","382,574","97,805","11,161","16,687","2,057"
wk3    Did not report,    Did not report,249,-,-,-,-,249
wk3Respondent currently employed ,Respondent currently employed ,,,,,,
wk3    Yes,    Yes,"621,912","452,568","115,299","29,705","17,001","7,339"
wk3    No,    No,"297,588","206,025","44,196","16,206","16,664","14,497"
wk3    Did not report,    Did not report,"1,049",-,208,-,-,841
wk3Reason for not working ,Reason for not working ,,,,,,
wk3    Did not want to be employed,    Did not want to be employed,"34,689","33,191","1,177",321,-,-
wk3    Sick with coronavirus symptoms,    Sick with coronavirus symptoms,"12,225",-,-,-,"12,225",-
wk3    Caring for someone with coronavirus symptoms,    Caring for someone with coronavirus symptoms,951,-,-,951,-,-
wk3    Caring for children not in school or daycare,    Caring for children not in school or daycare,"101,850","66,867","15,385","3,786","3,046","12,766"
wk3    Caring for an elderly person,    Caring for an elderly person,888,888,-,-,-,-
wk3    Sick (not coronavirus related) or disabled,    Sick (not coronavirus related) or disabled,"3,961","2,214",891,470,387,-
wk3    Retired,    Retired,"18,476","15,117",641,"2,371",-,346
wk3    Coronavirus pandemic related reduction in business (including furlough),    Coronavirus pandemic related reduction in business (including furlough),"22,731","17,017","3,538","1,793",383,-
wk3    Laid off due to coronavirus pandemic,    Laid off due to coronavirus pandemic,"23,995","10,698","9,051","4,246",-,-
wk3    Employment closed temporarily due to the coronavirus pandemic,    Employment closed temporarily due to the coronavirus pandemic,"46,372","35,049","10,159","1,163",-,-
wk3    Employment went out of business due to the coronavirus pandemic,    Employment went out of business due to the coronavirus pandemic,"2,912","1,503","1,410",-,-,-
wk3    Other reason,    Other reason,"25,247","21,207",929,"1,103",624,"1,384"
wk3    Did not report,    Did not report,"626,251","454,842","116,523","29,705","17,001","8,180"
wk3Receiving pay for the time not working ,Receiving pay for the time not working ,,,,,,
wk3    Using paid leave,    Using paid leave,"5,985","5,851",-,135,-,-
"wk3    Full pay, not taking leave","    Full pay, not taking leave","1,544","1,544",-,-,-,-
wk3    Partial pay,    Partial pay,"2,823",915,827,458,624,-
wk3    No pay,    No pay,"281,559","192,426","43,369","15,613","15,654","14,497"
wk3    Did not report,    Did not report,"628,637","457,858","115,507","29,705","17,388","8,180"
wk3Household income ,Household income ,,,,,,
"wk3    Less than $25,000","    Less than $25,000","42,041","36,629","3,950","1,461",-,-
"wk3    $25,000 - $34,999","    $25,000 - $34,999","38,932","16,327","3,567","6,370","12,668",-
